episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
40,1.0,3.2000083990691803,0.6832648240969352,0.2390666452466158,-30.0,2.5,[-30.0 2.5],0.0,False,True,0.7921105554903857,1,17.709159380834848,470.162,prepare,0.0,0
40,2.0,3.1997327938476237,0.6831032114197831,0.18326595495146542,-9.449170736917935,2.3285552187811973,[-9.449170736917935 2.3285552187811973],0.75,False,True,0.7905513581379284,1,17.709159380834848,470.233,in_progress,0.0,0
40,3.0,3.205852809396878,0.68513602966374,0.6216006541616049,-30.0,0.9449278537513659,[-30.0 0.9449278537513659],0.684118333300777,False,True,0.8251463734087121,1,17.709159380834848,470.298,in_progress,0.0,0
40,4.0,3.2270763014353747,0.6787257830609013,-1.046162556580989,-6.933782009629034,2.5,[-6.933782009629034 2.5],0.7453432044814011,False,True,0.9449165947750358,1,17.709159380834848,470.367,in_progress,0.0,0
40,5.0,3.2634925882417445,0.671455065831992,-2.4502557237554115,-10.266441725687649,2.5,[-10.266441725687649 2.5],0.7176513637174795,False,True,1.1504888039722614,1,17.709159380834848,470.438,in_progress,0.0,0
40,6.0,3.3160063700476896,0.6673078178745815,-2.992216706983212,5.9228355201623515,2.5,[5.9228355201623515 2.5],0.7332128754957802,False,True,1.4469871766977336,2,17.709159380834848,470.502,in_progress,0.0,0
40,7.0,3.375256580470596,0.666389846561296,-2.4733408695876182,30.0,1.880270197033737,[30.0 1.880270197033737],0.9022428535238431,False,True,1.7816752425433342,2,17.709159380834848,470.569,in_progress,0.0,0
40,8.0,3.4450614338969014,0.6801817584398743,1.2374062749864798,-30.0,1.9611429061236216,[-30.0 1.9611429061236216],0.9369221422045221,False,True,2.1758687009138833,3,17.709159380834848,470.638,in_progress,0.0,0
40,9.0,3.5212765446088006,0.6988232387012596,5.00919356273364,-30.0,0.8389735610756408,[-30.0 0.8389735610756408],0.6435579905020863,False,True,2.6062788821713774,3,17.709159380834848,470.711,in_progress,0.0,0
40,10.0,3.6140650985077025,0.7042244375451628,4.510582017944522,-30.0,2.5,[-30.0 2.5],0.6781825841833498,False,True,3.1302488879011396,4,17.709159380834848,470.789,in_progress,0.0,0
40,11.0,3.6959893522930707,0.7014174628864076,2.470346154708534,-19.749874545862554,2.5,[-19.749874545862554 2.5],0.7111627073635662,False,True,3.59284986394405,4,17.709159380834848,470.837,in_progress,0.0,0
40,12.0,3.7832377724475648,0.6828348636383609,-2.5034033899937045,-30.0,2.5,[-30.0 2.5],0.6992937704429046,False,True,4.085484592905033,5,17.709159380834848,470.915,in_progress,0.0,0
