episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
20,1.0,3.2000967855618816,0.6830636263011355,0.15465612384441693,30.0,2.5,[30.0 2.5],0.0,False,True,0.7926060193893301,1,17.709159380834848,224.498,prepare,0.0,0
20,2.0,3.1999542660831697,0.6833930375571954,0.2373206331652579,-12.751607057101474,0.5,[-12.751607057101474 0.5],0.6046964657952494,False,True,0.7918071949198259,1,17.709159380834848,224.569,in_progress,0.0,0
20,3.0,3.207858464563859,0.6832719213324516,0.22172657435239307,-30.0,2.5,[-30.0 2.5],0.699850164426866,False,True,0.83643817076569,1,17.709159380834848,224.652,in_progress,0.0,0
20,4.0,3.2268389660403076,0.6809609784203262,-0.39491471584455856,-27.979380674384917,1.7058476751997549,[-27.979380674384917 1.7058476751997549],0.8741521654672613,False,True,0.9435957400235263,1,17.709159380834848,224.699,in_progress,0.0,0
20,5.0,3.257953338061645,0.6669566199182345,-3.7036155131239177,-1.5424930346590067,2.5,[-1.5424930346590067 2.5],0.7329374938895463,False,True,1.1191709293324883,1,17.709159380834848,224.773,in_progress,0.0,0
20,6.0,3.3032023664833847,0.6526054753781733,-6.44135032547695,-3.6872001459148684,0.8619968166463658,[-3.6872001459148684 0.8619968166463658],0.6832971445464223,False,True,1.3745585393005881,2,17.709159380834848,224.825,in_progress,0.0,0
20,7.0,3.3571477469421236,0.6424048412048157,-7.415773665862278,-6.997689320631011,0.8049129248758993,[-6.997689320631011 0.8049129248758993],0.6582301288140173,False,True,1.6790885026415434,2,17.709159380834848,224.891,in_progress,0.0,0
20,8.0,3.410156654606784,0.6303009679749828,-8.541450706018368,30.0,0.7643423469806243,[30.0 0.7643423469806243],0.5853630341865006,False,True,1.9786971493519083,2,17.709159380834848,224.977,in_progress,0.0,0
20,9.0,3.471888825669609,0.6226077461564966,-8.194012724575176,30.0,1.8116334161038723,[30.0 1.8116334161038723],0.839092505394307,False,True,2.3272750649275293,3,17.709159380834848,225.027,in_progress,0.0,0
20,10.0,3.5315496430450524,0.6281097877582287,-4.933160735527875,16.4551676869703,2.5,[16.4551676869703 2.5],0.6719413315430345,False,True,2.6641309927576846,3,17.709159380834848,225.093,in_progress,0.0,0
